line_number,line_text,speaker,norm_speaker,eng_speaker
220,οὔκ ἔστιν οὕτω μῶρος ὃς θανεῖν ἐρᾷ.,Χορός,Χορος,Xoros
221,"καὶ μὴν ὁ μισθός γʼ, οὗτος· ἀλλʼ ὑπʼ ἐλπίδων",Κρέων,Κρεων,Krewn
222,ἄνδρας τὸ κέρδος πολλάκις διώλεσεν.,Κρέων,Κρεων,Krewn
223,"ἄναξ, ἐρῶ μὲν οὐχ ὅπως τάχους ὕπο",Φύλαξ,Φυλαξ,Fulac
224,δύσπνους ἱκάνω κοῦφον ἐξάρας πόδα.,Φύλαξ,Φυλαξ,Fulac
225,"πολλὰς γὰρ ἔσχον φροντίδων ἐπιστάσεις,",Φύλαξ,Φυλαξ,Fulac
226,ὁδοῖς κυκλῶν ἐμαυτὸν εἰς ἀναστροφήν·,Φύλαξ,Φυλαξ,Fulac
227,ψυχὴ γὰρ ηὔδα πολλά μοι μυθουμένη·,Φύλαξ,Φυλαξ,Fulac
228,"τάλας, τί χωρεῖς οἷ μολὼν δώσεις δίκην;",Φύλαξ,Φυλαξ,Fulac
229,"τλήμων, μενεῖς αὖ; κεἰ τάδʼ εἴσεται Κρέων",Φύλαξ,Φυλαξ,Fulac
230,ἄλλου παρʼ ἀνδρός; πῶς σὺ δῆτʼ οὐκ ἀλγύνει;,Φύλαξ,Φυλαξ,Fulac
231,τοιαῦθʼ ἑλίσσων ἤνυτον σχολῇ βραδύς.,Φύλαξ,Φυλαξ,Fulac
232,χοὔτως ὁδὸς βραχεῖα γίγνεται μακρά.,Φύλαξ,Φυλαξ,Fulac
233,τέλος γε μέντοι δεῦρʼ ἐνίκησεν μολεῖν,Φύλαξ,Φυλαξ,Fulac
234,"σοί. κεἰ τὸ μηδὲν ἐξερῶ, φράσω δʼ ὅμως·",Φύλαξ,Φυλαξ,Fulac
235,"τῆς ἐλπίδος γὰρ ἔρχομαι δεδραγμένος,",Φύλαξ,Φυλαξ,Fulac
236,τὸ μὴ παθεῖν ἂν ἄλλο πλὴν τὸ μόρσιμον.,Φύλαξ,Φυλαξ,Fulac
237,τί δʼ ἐστὶν ἀνθʼ οὗ τήνδʼ ἔχεις ἀθυμίαν;,Κρέων,Κρεων,Krewn
238,φράσαι θέλω σοι πρῶτα τἀμαυτοῦ· τὸ γὰρ,Φύλαξ,Φυλαξ,Fulac
239,"πρᾶγμʼ οὔτʼ ἔδρασʼ οὔτʼ εἶδον ὅστις ἦν ὁ δρῶν,",Φύλαξ,Φυλαξ,Fulac
240,οὐδʼ ἂν δικαίως ἐς κακὸν πέσοιμί τι.,Φύλαξ,Φυλαξ,Fulac
241,εὖ γε στοχάζει κἀποφάργνυσαι κύκλῳ,Κρέων,Κρεων,Krewn
242,τὸ πρᾶγμα· δηλοῖς δʼ ὥς τι σημανῶν νέον.,Κρέων,Κρεων,Krewn
243,τὰ δεινὰ γάρ τοι προστίθησʼ ὄκνον πολύν.,Φύλαξ,Φυλαξ,Fulac
244,"οὔκουν ἐρεῖς ποτʼ, εἶτʼ ἀπαλλαχθεὶς ἄπει;",Κρέων,Κρεων,Krewn
245,καὶ δὴ λέγω σοι. τὸν νεκρόν τις ἀρτίως,Φύλαξ,Φυλαξ,Fulac
246,θάψας βέβηκε κἀπὶ χρωτὶ διψίαν,Φύλαξ,Φυλαξ,Fulac
247,κόνιν παλύνας κἀφαγιστεύσας ἃ χρή·,Φύλαξ,Φυλαξ,Fulac
248,τί φής; τίς ἀνδρῶν ἦν ὁ τολμήσας τάδε;,Κρέων,Κρεων,Krewn
249,οὐκ οἶδʼ· ἐκεῖ γὰρ οὔτε του γενῇδος ἦν,Φύλαξ,Φυλαξ,Fulac
250,"πλῆγμʼ, οὐ δικέλλης ἐκβολή. στύφλος δὲ γῆ",Φύλαξ,Φυλαξ,Fulac
251,"καὶ χέρσος, ἀρρὼξ οὐδʼ ἐπημαξευμένη",Φύλαξ,Φυλαξ,Fulac
252,"τροχοῖσιν, ἀλλʼ ἄσημος οὑργάτης τις ἦν.",Φύλαξ,Φυλαξ,Fulac
253,ὅπως δʼ ὁ πρῶτος ἡμὶν ἡμεροσκόπος,Φύλαξ,Φυλαξ,Fulac
254,"δείκνυσι, πᾶσι θαῦμα δυσχερὲς παρῆν.",Φύλαξ,Φυλαξ,Fulac
255,"ὁ μὲν γὰρ ἠφάνιστο, τυμβήρης μὲν οὔ,",Φύλαξ,Φυλαξ,Fulac
256,"λεπτὴ δʼ, ἄγος φεύγοντος ὥς, ἐπῆν κόνις·",Φύλαξ,Φυλαξ,Fulac
257,σημεῖα δʼ οὔτε θηρὸς οὔτε του κυνῶν,Φύλαξ,Φυλαξ,Fulac
258,"ἐλθόντος, οὐ σπάσαντος ἐξεφαίνετο.",Φύλαξ,Φυλαξ,Fulac
259,"λόγοι δʼ ἐν ἀλλήλοισιν ἐρρόθουν κακοί,",Φύλαξ,Φυλαξ,Fulac
260,"φύλαξ ἐλέγχων φύλακα, κἂν ἐγίγνετο",Φύλαξ,Φυλαξ,Fulac
261,"πληγὴ τελευτῶσʼ, οὐδʼ ὁ κωλύσων παρῆν.",Φύλαξ,Φυλαξ,Fulac
262,"εἷς γάρ τις ἦν ἕκαστος οὑξειργασμένος,",Φύλαξ,Φυλαξ,Fulac
263,"κοὐδεὶς ἐναργής, ἀλλʼ ἔφευγε μὴ εἰδέναι.",Φύλαξ,Φυλαξ,Fulac
264,ἦμεν δʼ ἕτοιμοι καὶ μύδρους αἴρειν χεροῖν,Φύλαξ,Φυλαξ,Fulac
265,"καὶ πῦρ διέρπειν καὶ θεοὺς ὁρκωμοτεῖν,",Φύλαξ,Φυλαξ,Fulac
266,τὸ μήτε δρᾶσαι μήτε τῳ ξυνειδέναι,Φύλαξ,Φυλαξ,Fulac
267,τὸ πρᾶγμα βουλεύσαντι μηδʼ εἰργασμένῳ.,Φύλαξ,Φυλαξ,Fulac
268,"τέλος δʼ ὅτʼ οὐδὲν ἦν ἐρευνῶσιν πλέον,",Φύλαξ,Φυλαξ,Fulac
269,"λέγει τις εἷς, ὃ πάντας ἐς πέδον κάρα",Φύλαξ,Φυλαξ,Fulac
270,νεῦσαι φόβῳ προὔτρεψεν· οὐ γὰρ εἴχομεν,Φύλαξ,Φυλαξ,Fulac
271,οὔτʼ ἀντιφωνεῖν οὔθʼ ὅπως δρῶντες καλῶς,Φύλαξ,Φυλαξ,Fulac
272,πράξαιμεν. ἦν δʼ ὁ μῦθος ὡς ἀνοιστέον,Φύλαξ,Φυλαξ,Fulac
273,σοὶ τοὔργον εἴη τοῦτο κοὐχὶ κρυπτέον.,Φύλαξ,Φυλαξ,Fulac
274,"καὶ ταῦτʼ ἐνίκα, κἀμὲ τὸν δυσδαίμονα",Φύλαξ,Φυλαξ,Fulac
275,πάλος καθαιρεῖ τοῦτο τἀγαθὸν λαβεῖν.,Φύλαξ,Φυλαξ,Fulac
276,"πάρειμι δʼ ἄκων οὐχ ἑκοῦσιν, οἶδʼ ὅτι·",Φύλαξ,Φυλαξ,Fulac
277,στέργει γὰρ οὐδεὶς ἄγγελον κακῶν ἐπῶν.,Φύλαξ,Φυλαξ,Fulac
278,"ἄναξ, ἐμοί τοί, μή τι καὶ θεήλατον",Χορός,Χορος,Xoros
279,"τοὔργον τόδʼ, ἡ ξύννοια βουλεύει πάλαι",Χορός,Χορος,Xoros
280,"παῦσαι, πρὶν ὀργῆς καὶ ʼμὲ μεστῶσαι λέγων,",Κρέων,Κρεων,Krewn
281,μὴ ʼφευρεθῇς ἄνους τε καὶ γέρων ἅμα.,Κρέων,Κρεων,Krewn
282,λέγεις γὰρ οὐκ ἀνεκτὰ δαίμονας λέγων,Κρέων,Κρεων,Krewn
283,πρόνοιαν ἴσχειν τοῦδε τοῦ νεκροῦ πέρι.,Κρέων,Κρεων,Krewn
284,πότερον ὑπερτιμῶντες ὡς εὐεργέτην,Κρέων,Κρεων,Krewn
285,"ἔκρυπτον αὐτόν, ὅστις ἀμφικίονας",Κρέων,Κρεων,Krewn
286,ναοὺς πυρώσων ἦλθε κἀναθήματα,Κρέων,Κρεων,Krewn
287,καὶ γῆν ἐκείνων καὶ νόμους διασκεδῶν;,Κρέων,Κρεων,Krewn
288,ἢ τοὺς κακοὺς τιμῶντας εἰσορᾷς θεούς;,Κρέων,Κρεων,Krewn
289,οὔκ ἔστιν. ἀλλὰ ταῦτα καὶ πάλαι πόλεως,Κρέων,Κρεων,Krewn
290,"ἄνδρες μόλις φέροντες ἐρρόθουν ἐμοί,",Κρέων,Κρεων,Krewn
291,"κρυφῇ κάρα σείοντες, οὐδʼ ὑπὸ ζυγῷ",Κρέων,Κρεων,Krewn
292,"λόφον δικαίως εἶχον, ὡς στέργειν ἐμέ.",Κρέων,Κρεων,Krewn
293,ἐκ τῶνδε τούτους ἐξεπίσταμαι καλῶς,Κρέων,Κρεων,Krewn
294,παρηγμένους μισθοῖσιν εἰργάσθαι τάδε.,Κρέων,Κρεων,Krewn
295,οὐδὲν γὰρ ἀνθρώποισιν οἷον ἄργυρος,Κρέων,Κρεων,Krewn
296,κακὸν νόμισμʼ ἔβλαστε. τοῦτο καὶ πόλεις,Κρέων,Κρεων,Krewn
297,"πορθεῖ, τόδʼ ἄνδρας ἐξανίστησιν δόμων·",Κρέων,Κρεων,Krewn
298,τόδʼ ἐκδιδάσκει καὶ παραλλάσσει φρένας,Κρέων,Κρεων,Krewn
299,χρηστὰς πρὸς αἰσχρὰ πράγμαθʼ ἵστασθαι βροτῶν·,Κρέων,Κρεων,Krewn
300,πανουργίας δʼ ἔδειξεν ἀνθρώποις ἔχειν,Κρέων,Κρεων,Krewn
301,καὶ παντὸς ἔργου δυσσέβειαν εἰδέναι.,Κρέων,Κρεων,Krewn
302,"ὅσοι δὲ μισθαρνοῦντες ἤνυσαν τάδε,",Κρέων,Κρεων,Krewn
303,χρόνῳ ποτʼ ἐξέπραξαν ὡς δοῦναι δίκην.,Κρέων,Κρεων,Krewn
304,"ἀλλʼ εἴπερ ἴσχει Ζεὺς ἔτʼ ἐξ ἐμοῦ σέβας,",Κρέων,Κρεων,Krewn
305,"εὖ τοῦτʼ ἐπίστασʼ, ὅρκιος δέ σοι λέγω·",Κρέων,Κρεων,Krewn
306,εἰ μὴ τὸν αὐτόχειρα τοῦδε τοῦ τάφου,Κρέων,Κρεων,Krewn
307,"εὑρόντες ἐκφανεῖτʼ ἐς ὀφθαλμοὺς ἐμούς,",Κρέων,Κρεων,Krewn
308,"οὐχ ὑμὶν Ἅιδης μοῦνος ἀρκέσει, πρὶν ἂν",Κρέων,Κρεων,Krewn
309,"ζῶντες κρεμαστοὶ τήνδε δηλώσηθʼ ὕβριν,",Κρέων,Κρεων,Krewn
310,ἵνʼ εἰδότες τὸ κέρδος ἔνθεν οἰστέον,Κρέων,Κρεων,Krewn
311,"τὸ λοιπὸν ἁρπάζητε, καὶ μάθηθʼ ὅτι",Κρέων,Κρεων,Krewn
312,οὐκ ἐξ ἅπαντος δεῖ τὸ κερδαίνειν φιλεῖν.,Κρέων,Κρεων,Krewn
313,ἐκ τῶν γὰρ αἰσχρῶν λημμάτων τοὺς πλείονας,Κρέων,Κρεων,Krewn
314,ἀτωμένους ἴδοις ἂν ἢ σεσωσμένους.,Κρέων,Κρεων,Krewn
315,εἰπεῖν τι δώσεις ἢ στραφεὶς οὕτως ἴω;,Φύλαξ,Φυλαξ,Fulac
316,οὐκ οἶσθα καὶ νῦν ὡς ἀνιαρῶς λέγεις;,Κρέων,Κρεων,Krewn
317,ἐν τοῖσιν ὠσὶν ἢ ʼπὶ τῇ ψυχῇ δάκνει;,Φύλαξ,Φυλαξ,Fulac
318,τί δὲ ῥυθμίζεις τὴν ἐμὴν λύπην ὅπου;,Κρέων,Κρεων,Krewn
319,"ὁ δρῶν σʼ ἀνιᾷ τὰς φρένας, τὰ δʼ ὦτʼ ἐγώ.",Φύλαξ,Φυλαξ,Fulac
320,οἴμʼ ὡς λάλημα δῆλον ἐκπεφυκὸς εἶ.,Κρέων,Κρεων,Krewn
321,οὔκουν τό γʼ ἔργον τοῦτο ποιήσας ποτέ.,Φύλαξ,Φυλαξ,Fulac
322,καὶ ταῦτʼ ἐπʼ ἀργύρῳ γε τὴν ψυχὴν προδούς.,Κρέων,Κρεων,Krewn
323,φεῦ·,Φύλαξ,Φυλαξ,Fulac
323a,ἦ δεινὸν ᾧ δοκῇ γε καὶ ψευδῆ δοκεῖν.,Φύλαξ,Φυλαξ,Fulac
324,κόμψευέ νυν τὴν δόξαν· εἰ δὲ ταῦτα μὴ,Κρέων,Κρεων,Krewn
325,"φανεῖτέ μοι τοὺς δρῶντας, ἐξερεῖθʼ ὅτι",Κρέων,Κρεων,Krewn
326,τὰ δειλὰ κέρδη πημονὰς ἐργάζεται.,Κρέων,Κρεων,Krewn
327,ἀλλʼ εὑρεθείη μὲν μάλιστʼ· ἐὰν δέ τοι,Φύλαξ,Φυλαξ,Fulac
328,"ληφθῇ τε καὶ μή, τοῦτο γὰρ τύχη κρινεῖ,",Φύλαξ,Φυλαξ,Fulac
329,οὐκ ἔσθʼ ὅπως ὄψει σὺ δεῦρʼ ἐλθόντα με·,Φύλαξ,Φυλαξ,Fulac
330,καὶ νῦν γὰρ ἐκτὸς ἐλπίδος γνώμης τʼ ἐμῆς,Φύλαξ,Φυλαξ,Fulac
331,σωθεὶς ὀφείλω τοῖς θεοῖς πολλὴν χάριν.,Φύλαξ,Φυλαξ,Fulac
333,πολλὰ τὰ δεινὰ κοὐδὲν ἀνθρώπου δεινότερον πέλει.,Χορός,Χορος,Xoros
334,τοῦτο καὶ πολιοῦ πέραν πόντου χειμερίῳ νότῳ,Χορός,Χορος,Xoros
335,"χωρεῖ, περιβρυχίοισιν",Χορός,Χορος,Xoros
336,περῶν ὑπʼ οἴδμασιν.,Χορός,Χορος,Xoros
337,"θεῶν τε τὰν ὑπερτάταν, Γᾶν",Χορός,Χορος,Xoros
338,"ἄφθιτον, ἀκαμάταν, ἀποτρύεται",Χορός,Χορος,Xoros
339,ἰλλομένων ἀρότρων ἔτος εἰς ἔτος,Χορός,Χορος,Xoros
340,ἱππείῳ γένει πολεύων.,Χορός,Χορος,Xoros
343,κουφονόων τε φῦλον ὀρνίθων ἀμφιβαλὼν ἄγει,Χορός,Χορος,Xoros
345,καὶ θηρῶν ἀγρίων ἔθνη πόντου τʼ εἰναλίαν φύσιν,Χορός,Χορος,Xoros
346,"σπείραισι δικτυοκλώστοις,",Χορός,Χορος,Xoros
347,περιφραδὴς ἀνήρ·,Χορός,Χορος,Xoros
348,κρατεῖ δὲ μηχαναῖς ἀγραύλου,Χορός,Χορος,Xoros
350,"θηρὸς ὀρεσσιβάτα, λασιαύχενά θʼ",Χορός,Χορος,Xoros
351,ἵππον ὀχμάζεται ἀμφὶ λόφον ζυγῶν,Χορός,Χορος,Xoros
352,οὔρειόν τʼ ἀκμῆτα ταῦρον.,Χορός,Χορος,Xoros
355,καὶ φθέγμα καὶ ἀνεμόεν φρόνημα καὶ ἀστυνόμους,Χορός,Χορος,Xoros
356,ὀργὰς ἐδιδάξατο καὶ δυσαύλων,Χορός,Χορος,Xoros
357,πάγων ὑπαίθρεια καὶ δύσομβρα φεύγειν βέλη,Χορός,Χορος,Xoros
358,παντοπόρος· ἄπορος ἐπʼ οὐδὲν ἔρχεται,Χορός,Χορος,Xoros
360,τὸ μέλλον· Ἅιδα μόνον φεῦξιν οὐκ ἐπάξεται·,Χορός,Χορος,Xoros
361,νόσων δʼ ἀμηχάνων φυγὰς ξυμπέφρασται.,Χορός,Χορος,Xoros
365,σοφόν τι τὸ μηχανόεν τέχνας ὑπὲρ ἐλπίδʼ ἔχων,Χορός,Χορος,Xoros
366,"τοτὲ μὲν κακόν, ἄλλοτʼ ἐπʼ ἐσθλὸν ἕρπει,",Χορός,Χορος,Xoros
367,"νόμους γεραίρων χθονὸς θεῶν τʼ ἔνορκον δίκαν,",Χορός,Χορος,Xoros
370,ὑψίπολις· ἄπολις ὅτῳ τὸ μὴ καλὸν,Χορός,Χορος,Xoros
371,ξύνεστι τόλμας χάριν. μήτʼ ἐμοὶ παρέστιος,Χορός,Χορος,Xoros
375,γένοιτο μήτʼ ἴσον φρονῶν ὃς τάδʼ ἔρδει.,Χορός,Χορος,Xoros
376,ἐς δαιμόνιον τέρας ἀμφινοῶ,Χορός,Χορος,Xoros
377,τόδε· πῶς εἰδὼς ἀντιλογήσω,Χορός,Χορος,Xoros
378,τήνδʼ οὐκ εἶναι παῖδʼ Ἀντιγόνην.,Χορός,Χορος,Xoros
379,ὦ δύστηνος,Χορός,Χορος,Xoros
380,"καὶ δυστήνου πατρὸς Οἰδιπόδα,",Χορός,Χορος,Xoros
381,τί ποτʼ; οὐ δή που σέ γʼ ἀπιστοῦσαν,Χορός,Χορος,Xoros
382,τοῖς βασιλείοισιν ἄγουσι νόμοις,Χορός,Χορος,Xoros
383,καὶ ἐν ἀφροσύνῃ καθελόντες;,Χορός,Χορος,Xoros
384,ἥδʼ ἔστʼ ἐκείνη τοὔργον ἡ ʼξειργασμένη·,Φύλαξ,Φυλαξ,Fulac
385,τήνδʼ εἵλομεν θάπτουσαν. ἀλλὰ ποῦ Κρέων;,Φύλαξ,Φυλαξ,Fulac
386,ὅδʼ ἐκ δόμων ἄψορρος εἰς δέον περᾷ.,Χορός,Χορος,Xoros
387,τί δʼ ἔστι; ποίᾳ ξύμμετρος προὔβην τύχῃ;,Κρέων,Κρεων,Krewn
388,"ἄναξ, βροτοῖσιν οὐδέν ἔστʼ ἀπώμοτον.",Φύλαξ,Φυλαξ,Fulac
389,ψεύδει γὰρ ἡ ʼπίνοια τὴν γνώμην· ἐπεὶ,Φύλαξ,Φυλαξ,Fulac
390,σχολῇ ποθʼ ἥξειν δεῦρʼ ἂν ἐξηύχουν ἐγὼ,Φύλαξ,Φυλαξ,Fulac
391,ταῖς σαῖς ἀπειλαῖς αἷς ἐχειμάσθην τότε,Φύλαξ,Φυλαξ,Fulac
392,ἀλλʼ ἡ γὰρ ἐκτὸς καὶ παρʼ ἐλπίδας χαρὰ,Φύλαξ,Φυλαξ,Fulac
393,"ἔοικεν ἄλλῃ μῆκος οὐδὲν ἡδονῇ,",Φύλαξ,Φυλαξ,Fulac
394,"ἥκω, διʼ ὅρκων καίπερ ὢν ἀπώμοτος,",Φύλαξ,Φυλαξ,Fulac
395,"κόρην ἄγων τήνδʼ, ἣ καθῃρέθη τάφον",Φύλαξ,Φυλαξ,Fulac
396,"κοσμοῦσα. κλῆρος ἐνθάδʼ οὐκ ἐπάλλετο,",Φύλαξ,Φυλαξ,Fulac
397,"ἀλλʼ ἔστʼ ἐμὸν θοὔρμαιον, οὐκ ἄλλου, τόδε.",Φύλαξ,Φυλαξ,Fulac
398,"καὶ νῦν, ἄναξ, τήνδʼ αὐτός, ὡς θέλεις, λαβὼν",Φύλαξ,Φυλαξ,Fulac
399,καὶ κρῖνε κἀξέλεγχʼ· ἐγὼ δʼ ἐλεύθερος,Φύλαξ,Φυλαξ,Fulac
400,δίκαιός εἰμι τῶνδʼ ἀπηλλάχθαι κακῶν.,Φύλαξ,Φυλαξ,Fulac
401,ἄγεις δὲ τήνδε τῷ τρόπῳ πόθεν λαβών;,Κρέων,Κρεων,Krewn
402,αὕτη τὸν ἄνδρʼ ἔθαπτε· πάντʼ ἐπίστασαι.,Φύλαξ,Φυλαξ,Fulac
403,ἦ καὶ ξυνίης καὶ λέγεις ὀρθῶς ἃ φῄς;,Κρέων,Κρεων,Krewn
404,ταύτην γʼ ἰδὼν θάπτουσαν ὃν σὺ τὸν νεκρὸν,Φύλαξ,Φυλαξ,Fulac
405,ἀπεῖπας. ἆρʼ ἔνδηλα καὶ σαφῆ λέγω;,Φύλαξ,Φυλαξ,Fulac
406,καὶ πῶς ὁρᾶται κἀπίληπτος ᾑρέθη;,Κρέων,Κρεων,Krewn
407,"τοιοῦτον ἦν τὸ πρᾶγμʼ. ὅπως γὰρ ἥκομεν,",Φύλαξ,Φυλαξ,Fulac
408,"πρὸς σοῦ τὰ δείνʼ ἐκεῖνʼ ἐπηπειλημένοι,",Φύλαξ,Φυλαξ,Fulac
409,"πᾶσαν κόνιν σήραντες, ἣ κατεῖχε τὸν",Φύλαξ,Φυλαξ,Fulac
410,"νέκυν, μυδῶν τε σῶμα γυμνώσαντες εὖ,",Φύλαξ,Φυλαξ,Fulac
411,"καθήμεθʼ ἄκρων ἐκ πάγων ὑπήνεμοι,",Φύλαξ,Φυλαξ,Fulac
412,"ὀσμὴν ἀπʼ αὐτοῦ μὴ βάλοι πεφευγότες,",Φύλαξ,Φυλαξ,Fulac
413,ἐγερτὶ κινῶν ἄνδρʼ ἀνὴρ ἐπιρρόθοις,Φύλαξ,Φυλαξ,Fulac
414,"κακοῖσιν, εἴ τις τοῦδʼ ἀκηδήσοι πόνου.",Φύλαξ,Φυλαξ,Fulac
415,"χρόνον τάδʼ ἦν τοσοῦτον, ἔστʼ ἐν αἰθέρι",Φύλαξ,Φυλαξ,Fulac
416,μέσῳ κατέστη λαμπρὸς ἡλίου κύκλος,Φύλαξ,Φυλαξ,Fulac
417,καὶ καῦμʼ ἔθαλπε· καὶ τότʼ ἐξαίφνης χθονὸς,Φύλαξ,Φυλαξ,Fulac
418,"τυφὼς ἀείρας σκηπτόν οὐράνιον ἄχος,",Φύλαξ,Φυλαξ,Fulac
419,"πίμπλησι πεδίον, πᾶσαν αἰκίζων φόβην",Φύλαξ,Φυλαξ,Fulac
420,"ὕλης πεδιάδος, ἐν δʼ ἐμεστώθη μέγας",Φύλαξ,Φυλαξ,Fulac
421,αἰθήρ· μύσαντες δʼ εἴχομεν θείαν νόσον.,Φύλαξ,Φυλαξ,Fulac
422,"καὶ τοῦδʼ ἀπαλλαγέντος ἐν χρόνῳ μακρῷ,",Φύλαξ,Φυλαξ,Fulac
423,"ἡ παῖς ὁρᾶται, κἀνακωκύει πικρᾶς",Φύλαξ,Φυλαξ,Fulac
424,"ὄρνιθος ὀξὺν φθόγγον, ὡς ὅταν κενῆς",Φύλαξ,Φυλαξ,Fulac
425,εὐνῆς νεοσσῶν ὀρφανὸν βλέψῃ λέχος.,Φύλαξ,Φυλαξ,Fulac
426,"οὕτω δὲ χαὔτη, ψιλὸν ὡς ὁρᾷ νέκυν,",Φύλαξ,Φυλαξ,Fulac
427,"γόοισιν ἐξῴμωξεν, ἐκ δʼ ἀρὰς κακὰς",Φύλαξ,Φυλαξ,Fulac
428,ἠρᾶτο τοῖσι τοὔργον ἐξειργασμένοις.,Φύλαξ,Φυλαξ,Fulac
429,"καὶ χερσὶν εὐθὺς διψίαν φέρει κόνιν,",Φύλαξ,Φυλαξ,Fulac
430,ἔκ τʼ εὐκροτήτου χαλκέας ἄρδην πρόχου,Φύλαξ,Φυλαξ,Fulac
431,χοαῖσι τρισπόνδοισι τὸν νέκυν στέφει.,Φύλαξ,Φυλαξ,Fulac
432,"χἠμεῖς ἰδόντες ἱέμεσθα, σὺν δέ νιν",Φύλαξ,Φυλαξ,Fulac
433,"θηρώμεθʼ εὐθὺς οὐδὲν ἐκπεπληγμένην,",Φύλαξ,Φυλαξ,Fulac
434,καὶ τάς τε πρόσθεν τάς τε νῦν ἠλέγχομεν,Φύλαξ,Φυλαξ,Fulac
435,"πράξεις· ἄπαρνος δʼ οὐδενὸς καθίστατο,",Φύλαξ,Φυλαξ,Fulac
436,ἅμʼ ἡδέως ἔμοιγε κἀλγεινῶς ἅμα.,Φύλαξ,Φυλαξ,Fulac
437,τὸ μὲν γὰρ αὐτὸν ἐκ κακῶν πεφευγέναι,Φύλαξ,Φυλαξ,Fulac
438,"ἥδιστον, ἐς κακὸν δὲ τοὺς φίλους ἄγειν",Φύλαξ,Φυλαξ,Fulac
439,ἀλγεινόν· ἀλλὰ πάντα ταῦθʼ ἥσσω λαβεῖν,Φύλαξ,Φυλαξ,Fulac
440,ἐμοὶ πέφυκε τῆς ἐμῆς σωτηρίας.,Φύλαξ,Φυλαξ,Fulac
441,"σὲ δή, σὲ τὴν νεύουσαν εἰς πέδον κάρα,",Κρέων,Κρεων,Krewn
442,φὴς ἢ καταρνεῖ μὴ δεδρακέναι τάδε;,Κρέων,Κρεων,Krewn
443,καὶ φημὶ δρᾶσαι κοὐκ ἀπαρνοῦμαι τὸ μή.,Ἀντιγόνη,Αντιγονη,Antigonh
444,σὺ μὲν κομίζοις ἂν σεαυτὸν ᾖ θέλεις,Κρέων,Κρεων,Krewn
445,ἔξω βαρείας αἰτίας ἐλεύθερον·,Κρέων,Κρεων,Krewn
446,"σὺ δʼ εἰπέ μοι μὴ μῆκος, ἀλλὰ συντόμως,",Κρέων,Κρεων,Krewn
447,ᾔδησθα κηρυχθέντα μὴ πράσσειν τάδε;,Κρέων,Κρεων,Krewn
448,ᾔδη· τί δʼ οὐκ ἔμελλον; ἐμφανῆ γὰρ ἦν.,Ἀντιγόνη,Αντιγονη,Antigonh
449,καὶ δῆτʼ ἐτόλμας τούσδʼ ὑπερβαίνειν νόμους;,Κρέων,Κρεων,Krewn
450,"οὐ γάρ τί μοι Ζεὺς ἦν ὁ κηρύξας τάδε,",Ἀντιγόνη,Αντιγονη,Antigonh
